trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.1, 'e': 0.6636502501363194}",20,0,-150.19297391915194,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
43,False,"{'a': 0.1, 'e': 0.6570468198150567}",20,0,-58.277070911467156,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.1, 'e': 0.6505090947233165}",20,2,-102.69878081167553,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 2}",1
45,False,"{'a': 0.1, 'e': 0.6440364210831414}",20,0,-51.838031638794426,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
46,False,"{'a': 0.1, 'e': 0.6376281516217733}",20,0,-85.63756747666757,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
47,False,"{'a': 0.1, 'e': 0.631283645506926}",20,0,-55.13928476147674,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
48,False,"{'a': 0.1, 'e': 0.6250022682827008}",20,0,-95.39768375928516,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
49,False,"{'a': 0.1, 'e': 0.6187833918061408}",20,0,-16.352603557551426,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
50,False,"{'a': 0.1, 'e': 0.6126263941844161}",20,0,-50.24970837267905,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
51,False,"{'a': 0.1, 'e': 0.6065306597126334}",30,15,-23.308750855089126,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
52,False,"{'a': 0.1, 'e': 0.6004955788122659}",25,0,-118.46846296202176,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
53,False,"{'a': 0.1, 'e': 0.5945205479701944}",20,5,-79.12534965257011,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 2}",1
54,False,"{'a': 0.1, 'e': 0.5886049696783552}",25,0,-37.09446223809865,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
55,False,"{'a': 0.1, 'e': 0.5827482523739896}",25,0,-133.35264117995274,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
56,False,"{'a': 0.1, 'e': 0.5769498103804866}",20,6,-37.96119722708298,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
57,False,"{'a': 0.1, 'e': 0.5712090638488149}",20,0,-123.66923483274843,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
